,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
5,NO,W117-97,27.0,33.3,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,away,2021-10-18,2021,3907498,MatisseThybulle,phi
0,HOU,W133-113,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,home,2022-01-03,2021,4397886,CharlesBassey,phi
0,WSH,W117-96,6.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,away,2021-12-26,2021,4397886,CharlesBassey,phi
1,ATL,L98-96,12.0,100.0,0.0,100.0,8.0,1.0,1.0,1.0,1.0,0.0,8.0,3.0,3.0,0.0,0.0,2.0,2.0,home,2021-12-23,2021,4397886,CharlesBassey,phi
2,BOS,W108-103,8.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-12-20,2021,4397886,CharlesBassey,phi
3,MEM,L126-91,22.0,60.0,0.0,50.0,10.0,0.0,4.0,0.0,6.0,0.0,13.0,6.0,10.0,0.0,0.0,1.0,2.0,away,2021-12-13,2021,4397886,CharlesBassey,phi
4,UTAH,L118-96,5.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,home,2021-12-09,2021,4397886,CharlesBassey,phi
0,GS,L116-96,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-11-24,2021,4397886,CharlesBassey,phi
1,SAC,W102-94,15.0,50.0,0.0,0.0,7.0,1.0,0.0,0.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,away,2021-11-22,2021,4397886,CharlesBassey,phi
2,POR,L118-111,14.0,100.0,0.0,100.0,6.0,0.0,1.0,0.0,2.0,0.0,6.0,2.0,2.0,0.0,0.0,2.0,2.0,away,2021-11-20,2021,4397886,CharlesBassey,phi
3,DEN,W103-89,19.0,71.4,0.0,66.7,7.0,0.0,3.0,1.0,3.0,0.0,12.0,5.0,7.0,0.0,1.0,2.0,3.0,away,2021-11-18,2021,4397886,CharlesBassey,phi
4,UTAH,L120-85,9.0,100.0,0.0,50.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,1.0,2.0,away,2021-11-16,2021,4397886,CharlesBassey,phi
5,IND,L118-113,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-11-13,2021,4397886,CharlesBassey,phi
6,MIL,L118-109,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,home,2021-11-09,2021,4397886,CharlesBassey,phi
0,ATL,W122-94,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home,2021-10-30,2021,4397886,CharlesBassey,phi
1,NY,L112-99,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,away,2021-10-26,2021,4397886,CharlesBassey,phi
2,NO,W117-97,2.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,away,2021-10-20,2021,4397886,CharlesBassey,phi
